cod_setor,pop,renda_mensal_total
330030805000153,406,246837
330030805000154,190,132088
330030805000155,161,161502
330030805000156,299,307792
330030805000157,401,292018
330030805000158,529,420377
330030805000159,131,48224
330030805000160,40,19800
330030805000161,122,101756
330030805000163,470,313870
330030805000164,771,292566
330030805000165,272,97594
330030805000166,80,31128
330030805000167,214,67284
330030805000168,467,170509
330030805000169,839,313855
330030805000170,54,49876
330030805000174,11,X
330030805000175,30,X
330030805000176,77,18381
330030805000177,14,X
330030805000178,1,X
330030805000179,189,X
330030805000180,445,181371
330030805000181,321,188966
330030805000182,442,215980
330030805000183,469,225949
330030805000184,683,434193
330030805000185,157,153711
330030805000186,192,92952
330030805000187,261,130285
330030805000188,394,171377
330030805000190,34,42170
330030805000191,166,198560
330030805000192,465,463896
330030805000193,263,254478
330030805000194,71,56570
330030805000195,19,12880
330030805000196,198,390560
330030805000197,441,378500
330030805000198,442,185459
330030805000199,450,266490
330030805000200,5,X
330030805000201,201,51968
330030805000202,85,51812
330030805000203,38,9751
330030805000204,34,14479
330030805000205,36,7770
330030807000001,783,299724
330030807000002,806,388688
330030807000003,574,234622
330030807000004,909,627390
330030807000005,676,455868
330030807000006,587,193078
330030807000007,573,229769
330030807000008,560,234972
330030807000009,591,246216
330030807000010,818,283351
330030807000011,451,213082
330030807000012,420,303078
330030807000013,577,205276
330030807000014,945,863479
330030807000015,592,482187
330030807000016,695,308312
330030807000017,876,344764
330030807000018,753,545820
330030807000019,471,384161
330030810000001,740,307458
330030810000002,642,272391
330030810000003,329,107133
330030810000004,331,149613
330030810000005,434,194762
330030815000001,748,314114
330030815000002,241,158684
330030815000003,868,584155
330030815000004,632,580385
330030815000005,340,212955
330030815000006,456,305905
330030815000007,624,273729
330030815000008,360,280950
330030815000009,24,13054
330030820000001,317,142386
330030820000002,152,71393
330030820000003,152,48989
330030820000004,245,94709
330030825000001,539,256379
330030825000002,769,422052
330030825000003,559,218340
330030825000004,631,296888
330030825000005,276,121761
330030825000006,55,36650
330030825000007,295,186939
330030825000008,966,303334
330030825000009,185,60271
330030825000010,103,30647
330040705000001,51,34515
330040705000002,229,84387
330040705000003,215,170609
330040705000004,30,20910
330040705000006,134,90220
330040705000007,766,330645
330040705000008,482,255695
330040705000009,153,39090
330040705000010,149,60152
330040705000011,7,X
330040705000012,7,4095
330040705000013,4,X
330040705000014,86,48039
330040705000015,12,X
330040705000016,34,32620
330040705010001,266,197195
330040705010002,330,438236
330040705010003,153,201316
330040705010004,NA,X
330040705010005,343,289090
330040705010006,308,356959
330040705010007,13,8020
330040705010008,663,557598
330040705010009,454,624712
330040705010010,193,234838
330040705010011,644,636157
330040705010012,187,385610
330040705010013,176,369656
330040705010014,271,411906
330040705010015,46,46220
330040705010016,438,240601
330040705010017,798,540962
330040705010018,733,515200
330040705010019,378,351907
330040705010020,406,352963
330040705010021,511,806369
330040705010022,212,254756
330040705010023,538,952838
330040705010024,369,555216
330040705010026,21,9350
330040705010027,206,296578
330040705010028,723,631193
330040705010029,NA,15300
330040705010030,318,658125
330040705010031,836,1501437
330040705010032,353,564880
330040705010033,377,319366
330040705010034,379,233015
330040705010035,96,50127
330040705010036,213,120350
330040705010037,357,253007
330040705010038,447,253125
330040705010039,704,1491350
330040705010040,357,259019
330040705010041,387,870807
330040705010042,11,X
330040705010043,140,174440
330040705010044,47,73700
330040705010045,101,X
330040705010046,292,606963
330040705010047,57,98990
330040705010048,352,306900
330040705010050,752,379831
330040705010051,674,420343
330040705010052,129,173819
330040705010054,331,211996
330040705010055,8,X
330040705010056,136,310634
330040705010058,355,166033
330040705010059,290,179339
330040705010060,66,50044
330040705010061,17,20700
330040705010062,244,252049
330040705010063,437,472092
330040705010064,396,255206
330040705010065,112,73646
330040705010066,441,301108
330040705010067,214,110643
330040705010068,8,X
330040705010069,38,X
330040705010070,76,31360
330040705010072,NA,918
330040705020001,512,260096
330040705020002,810,311370
330040705020003,441,143891
330040705020004,619,269945
330040705020005,807,309185
330040705020006,814,421693
330040705020007,317,154812
330040705020008,558,225442
330040705020009,505,221276
330040705020010,439,192447
330040705020011,1251,538926
330040705020012,57,24254
330040705020013,92,48320
330040705020014,92,37240
330040705020015,992,552709
330040705020016,419,211902
330040705020017,712,329833
330040705020018,266,95337
330040705020019,439,174890
330040705020020,242,109026
330040705020021,413,236036
330040705020022,590,318004
330040705020023,97,60042
330040705020024,882,395343
330040705020025,41,19386
330040705020026,517,268067
330040705020027,92,36099
330040705030001,149,99752
330040705030002,792,424783
330040705030003,1183,512996
330040705030004,1040,548291
330040705030005,1015,383481
330040705030006,1031,451257
330040705030007,967,389521
330040705030008,484,169427
330040705030009,536,459198
330040705030010,446,264772
330040705030011,721,542123
330040705030012,367,162179
330040705030013,556,277693
330040705030014,1251,586560
330040705030015,474,291720
330040705030016,1003,489861
330040705030017,811,464813
330040705030018,494,231441
330040705030019,618,252696
330040705030020,397,237188
330040705030021,210,98665
330040705030022,76,28537
330040705030023,307,129678
330040705030024,360,151343
330040705030025,9,X
330040705030026,151,74220
330040705030027,124,45950
330040705030028,82,35450
330040705030029,119,58651
330040705030031,10,X
330040705040001,916,448749
330040705040002,502,206869
330040705040003,131,56924
330040705040004,121,52975
330040705040005,121,58235
330040705040006,326,138588
330040705040007,1080,586694
330040705040008,128,57239
330040705040009,870,650099
330040705040010,282,143690
330040705040011,690,464977
330040705040012,251,154169
330040705040013,331,313385
